station,longitude,latitude
Canonbury,-0.090522836,51.54817851
Dalston Kingsland,-0.074035153,51.54783695
Finchley Road & Frognal,-0.181637018,51.54982406
Gospel Oak,-0.149494861,51.55486145
Hackney Central,-0.055208719,51.54652805
Hackney Wick,-0.021765777,51.54302792
Hampstead Heath,-0.164099101,51.55475816
Homerton,-0.040627028,51.54649227
Kensal Green,-0.223116997,51.53001765
Kensal Rise,-0.218097094,51.53413249
Kentish Town West,-0.145240267,51.54596266
Kilburn High Road,-0.190635722,51.53680577
New Cross Gate,-0.038716887,51.47449297
ALL SAINTS - DLR,-0.011456278,51.51051157
BLACKWALL - DLR,-0.005550544,51.50745237
BOW CHURCH - DLR,-0.01918061,51.52715522
CANARY WHARF - DLR,-0.019337121,51.50461022
CROSSHARBOUR - DLR,-0.012863868,51.49538997
CUTTY SARK - DLR,-0.009463903,51.48115778
DEPTFORD BRIDGE - DLR,-0.020845808,51.47378671
DEVONS ROAD - DLR,-0.015859691,51.52195436
ELVERSON ROAD - DLR,-0.014766759,51.46817948
HERON QUAYS - DLR,-0.019832666,51.50281981
ISLAND GARDENS - DLR,-0.008883221,51.48754261
LANGDON PARK - DLR,-0.012505001,51.51456754
LEWISHAM - DLR,-0.012465383,51.46513641
LIMEHOUSE - DLR,-0.038095069,51.51179704
MUDCHUTE - DLR,-0.013413578,51.49037168
POPLAR - DLR,-0.015607274,51.50720026
SHADWELL - DLR,-0.05512963,51.51118155
SOUTH QUAY - DLR,-0.017414424,51.50009877
WEST INDIA QUAY - DLR,-0.018586106,51.50697183
WESTFERRY - DLR,-0.025301528,51.50899182
South Hampstead,-0.177570816,51.54111829
Surrey Quays,-0.046055836,51.49282777
Upper Holloway,-0.127532858,51.56303879
Wapping,-0.054345515,51.50386599
West Hampstead,-0.188759559,51.54628297
Shepherds Bush,-0.217219888,51.50417089
Kensington Olympia,-0.208397635,51.49726439
Westompton,-0.193747112,51.48661615
Clapham Junction,-0.16856542,51.4629141
Imperial Wharf,-0.181347614,51.47457995
Queens Park,-0.203104045,51.53366092
Highbury & Islington,-0.10209637,51.54564126
Chiswick Park,-0.266981606,51.49415785
Wimbledon Park,-0.19749098,51.43353749
Southfields,-0.205058529,51.4445635
Seven Sisters,-0.070894139,51.58289546
Blackhorse Road,-0.040174342,51.58633801
Tottenham Hale,-0.058547162,51.58754655
Brent Cross,-0.212185251,51.57616797
Golders Green,-0.192420671,51.57178437
South Ealing,-0.305919519,51.50039136
North Ealing,-0.287236576,51.51697561
Park Royal,-0.282378071,51.52597425
Hanger Lane,-0.291095909,51.52968038
North Acton,-0.258167978,51.52310534
Leyton,-0.00386474,51.55609689
Bromley-by-Bow,-0.009841042,51.52424987
Plaistow,0.018612643,51.53072137
Upton Park,0.036836325,51.53487026
Turnpike Lane,-0.101359413,51.58975112
Wood Green,-0.108246806,51.5969712
Bounds Green,-0.122731021,51.60656487
West Ham,0.00590508,51.52776913
Walthamstow Central,-0.019895332,51.58261626
Ealing Broadway,-0.299418497,51.51449777
Acton Town,-0.278432824,51.50213702
Ealing Common,-0.286555479,51.50903565
South Wimbledon,-0.191711278,51.41446924
Northfields,-0.311409865,51.49914634
Harlesden,-0.256997378,51.53619355
Kew Gardens,-0.283453589,51.47648632
Gunnersbury,-0.273547129,51.49123204
North Greenwich,0.005908784,51.50002099
Canning Town,0.009568884,51.51360991
